Rank,Name,Networth,Networth in Billions,Age,Country,Source of wealth,Industry
290,Andrew Currie,$7.60 ,"$7,600,000,000 ",67,United Kingdom,Chemicals,Others
290,Joe Gebbia,$7.60 ,"$7,600,000,000 ",41,United States,Airbnb,Others
290,Philip Ng,$7.60 ,"$7,600,000,000 ",64,Singapore,Real Estate,Others
290,John Reece,$7.60 ,"$7,600,000,000 ",66,United Kingdom,Chemicals,Others
290,Leonard Stern,$7.60 ,"$7,600,000,000 ",85,United States,Real estate,Others
290,Joseph Tsai,$7.60 ,"$7,600,000,000 ",59,Canada,E-commerce,Others
290,Zhong Huijuan,$7.60 ,"$7,600,000,000 ",62,China,Pharmaceuticals,Others
299,Arthur Blank,$7.50 ,"$7,500,000,000 ",80,United States,Home Depot,Others
299,Charles Butt,$7.50 ,"$7,500,000,000 ",85,United States,Supermarkets,Others
299,Ding Shijia,$7.50 ,"$7,500,000,000 ",59,China,Sports apparel,Others
299,"Paul Tudor Jones, II.",$7.50 ,"$7,500,000,000 ",68,United States,Hedge funds,Others
299,Henry Kravis,$7.50 ,"$7,500,000,000 ",79,United States,Private equity,Others
299,Zhang Yong,$7.50 ,"$7,500,000,000 ",52,Singapore,Restaurants,Others
305,James Goodnight,$7.40 ,"$7,400,000,000 ",80,United States,Software,Others
305,Sri Prakash Lohia,$7.40 ,"$7,400,000,000 ",70,Indonesia,Petrochemicals,Others
305,Ma Jianrong & family,$7.40 ,"$7,400,000,000 ",59,China,"Textiles, apparel",Others
305,Robert Ng,$7.40 ,"$7,400,000,000 ",71,Singapore,Real estate,Others
305,Steven Rales,$7.40 ,"$7,400,000,000 ",72,United States,"Manufacturing, investments",Others
305,Nassef Sawiris,$7.40 ,"$7,400,000,000 ",62,Egypt,"Construction, investments",Others
305,Harry Stine,$7.40 ,"$7,400,000,000 ",81,United States,Agriculture,Others
312,Benu Gopal Bangur,$7.30 ,"$7,300,000,000 ",91,India,Cement,Others
312,Iskander Makhmudov,$7.30 ,"$7,300,000,000 ",59,Russia,"Mining, metals, machinery",Others
312,Anders Holch Povlsen,$7.30 ,"$7,300,000,000 ",50,Denmark,Fashion retail,Others
312,Enrique Razon Jr.,$7.30 ,"$7,300,000,000 ",63,Philippines,Ports,Others
312,Wang Laichun,$7.30 ,"$7,300,000,000 ",55,China,Electronics components,Others
317,Arthur Dantchik,$7.20 ,"$7,200,000,000 ",65,United States,"Trading, investments",Others
317,Terry Gou,$7.20 ,"$7,200,000,000 ",72,Taiwan,Electronics,Others
317,Jeff Greene,$7.20 ,"$7,200,000,000 ",68,United States,"Real estate, investments",Others
317,Don Hankey,$7.20 ,"$7,200,000,000 ",79,United States,Auto loans,Others
317,Richard Kinder,$7.20 ,"$7,200,000,000 ",78,United States,Pipelines,Others
317,Guillaume Pousaz,$7.20 ,"$7,200,000,000 ",41,Switzerland,Fintech,Others
317,Takahisa Takahara,$7.20 ,"$7,200,000,000 ",61,Japan,Personal care goods,Others
317,Zong Qinghou,$7.20 ,"$7,200,000,000 ",77,China,Beverages,Others
325,Judy Faulkner,$7.10 ,"$7,100,000,000 ",79,United States,Healthcare software,Others
325,Johann Graf,$7.10 ,"$7,100,000,000 ",76,Austria,Gambling,Others
325,Tamara Gustavson,$7.10 ,"$7,100,000,000 ",61,United States,Self storage,Others
325,Liang Wengen,$7.10 ,"$7,100,000,000 ",66,China,Construction equipment,Others
325,Frederik Paulsen,$7.10 ,"$7,100,000,000 ",72,Sweden,Health care,Others
325,Wee Cho Yaw,$7.10 ,"$7,100,000,000 ",94,Singapore,Banking,Others
325,Zhang Hejun,$7.10 ,"$7,100,000,000 ",71,China,Electronics,Others
332,Marc Benioff,$7 ,"$7,000,000,000 ",58,United States,Business software,Others
332,Dmitri Bukhman,$7 ,"$7,000,000,000 ",37,Israel,Online games,Others
332,Igor Bukhman,$7 ,"$7,000,000,000 ",41,Israel,Online games,Others
332,Jack Dangermond,$7 ,"$7,000,000,000 ",77,United States,Mapping software,Others
332,Ashwin Dani & family,$7 ,"$7,000,000,000 ",80,India,Paints,Others
332,Ralph Lauren,$7 ,"$7,000,000,000 ",83,United States,Apparel,Others
332,Law Kar Po,$7 ,"$7,000,000,000 ",74,Hong Kong,Real estate,Others
332,Rohiqa Cyrus Mistry,$7 ,"$7,000,000,000 ",55,India,Diversified,Others
332,Shapoor Mistry,$7 ,"$7,000,000,000 ",58,Ireland,Diversified,Others
332,J. Christopher Reyes,$7 ,"$7,000,000,000 ",69,United States,Food distribution,Others
332,Jude Reyes,$7 ,"$7,000,000,000 ",67,United States,Food distribution,Others
332,Don Vultaggio & family,$7 ,"$7,000,000,000 ",71,United States,Beverages,Others
344,Alejandro Bailleres Gual & family,$6.90 ,"$6,900,000,000 ",62,Mexico,Diversified,Others
344,Edythe Broad & family,$6.90 ,"$6,900,000,000 ",87,United States,"Homebuilding, insurance",Others
344,Pauline MacMillan Keinath,$6.90 ,"$6,900,000,000 ",89,United States,Cargill,Others
344,Philippe Laffont,$6.90 ,"$6,900,000,000 ",55,United States,Hedge fund,Others
344,Liu Jincheng & family,$6.90 ,"$6,900,000,000 ",58,China,Lithium batteries,Others
344,Igor Olenicoff,$6.90 ,"$6,900,000,000 ",80,United States,Real estate,Others
344,Sandra Ortega Mera,$6.90 ,"$6,900,000,000 ",54,Spain,Zara,Others
344,Ronda Stryker,$6.90 ,"$6,900,000,000 ",68,United States,Medical equipment,Others
352,Dannine Avara,$6.80 ,"$6,800,000,000 ",59,United States,Pipelines,Others
352,Silvio Berlusconi & family,$6.80 ,"$6,800,000,000 ",86,Italy,Media,Others
352,Denise Coates,$6.80 ,"$6,800,000,000 ",55,United Kingdom,Online gambling,Others
352,Scott Duncan,$6.80 ,"$6,800,000,000 ",40,United States,Pipelines,Others
352,Milane Frantz,$6.80 ,"$6,800,000,000 ",53,United States,Pipelines,Others
352,"Edward Johnson, IV.",$6.80 ,"$6,800,000,000 ",58,United States,Fidelity,Others
352,Yuri Milner,$6.80 ,"$6,800,000,000 ",61,Israel,Tech investments,Others
352,Gordon Moore,$6.80 ,"$6,800,000,000 ",94,United States,Intel,Others
352,John Overdeck,$6.80 ,"$6,800,000,000 ",53,United States,Hedge funds,Others
352,David Siegel,$6.80 ,"$6,800,000,000 ",61,United States,Hedge funds,Others
352,Viktor Vekselberg,$6.80 ,"$6,800,000,000 ",65,Russia,"Metals, investments",Others
352,Wang Laisheng,$6.80 ,"$6,800,000,000 ",58,China,Electronics components,Others
352,Randa Duncan Williams,$6.80 ,"$6,800,000,000 ",61,United States,Pipelines,Others
365,Ken Fisher,$6.70 ,"$6,700,000,000 ",72,United States,Money management,Others
365,Christopher Hohn,$6.70 ,"$6,700,000,000 ",56,United Kingdom,Hedge funds,Others
365,Kjeld Kirk Kristiansen,$6.70 ,"$6,700,000,000 ",75,Denmark,Lego,Others
365,Sofie Kirk Kristiansen,$6.70 ,"$6,700,000,000 ",47,Denmark,Lego,Others
365,Thomas Kirk Kristiansen,$6.70 ,"$6,700,000,000 ",44,Denmark,Lego,Others
365,Massimiliana Landini Aleotti & family,$6.70 ,"$6,700,000,000 ",80,Italy,Pharmaceuticals,Others
365,Li Ping,$6.70 ,"$6,700,000,000 ",55,Hong Kong,Batteries,Others
365,Lin Jianhua,$6.70 ,"$6,700,000,000 ",60,China,Solar panel components,Others
365,Magdalena Martullo-Blocher,$6.70 ,"$6,700,000,000 ",54,Switzerland,Chemicals,Others
365,Xavier Niel,$6.70 ,"$6,700,000,000 ",55,France,"Internet, telecom",Others
365,Terrence Pegula,$6.70 ,"$6,700,000,000 ",72,United States,Natural gas,Others
365,"Edward Roski, Jr.",$6.70 ,"$6,700,000,000 ",84,United States,Real estate,Others
365,John A. Sobrato & family,$6.70 ,"$6,700,000,000 ",83,United States,Real estate,Others
365,George Soros,$6.70 ,"$6,700,000,000 ",92,United States,Hedge funds,Others
365,David Sun,$6.70 ,"$6,700,000,000 ",71,United States,Computer hardware,Others
365,Agnete Kirk Thinggaard,$6.70 ,"$6,700,000,000 ",39,Denmark,Lego,Others
365,John Tu,$6.70 ,"$6,700,000,000 ",81,United States,Computer hardware,Others
365,Xu Shihui,$6.70 ,"$6,700,000,000 ",65,China,"Snacks, beverages",Others
383,Rahel Blocher,$6.60 ,"$6,600,000,000 ",47,Switzerland,Chemicals,Others
383,Bubba Cathy,$6.60 ,"$6,600,000,000 ",68,United States,Chick-fil-A,Others
383,Dan Cathy,$6.60 ,"$6,600,000,000 ",70,United States,Chick-fil-A,Others
383,Trudy Cathy White,$6.60 ,"$6,600,000,000 ",67,United States,Chick-fil-A,Others
383,Bruce Kovner,$6.60 ,"$6,600,000,000 ",78,United States,Hedge funds,Others
383,"Henry Nicholas, III.",$6.60 ,"$6,600,000,000 ",63,United States,Semiconductors,Others
383,Nadia Thiele,$6.60 ,"$6,600,000,000 ",47,Germany,Investments,Others
390,David Bonderman,$6.50 ,"$6,500,000,000 ",80,United States,Private equity,Others
390,Melinda French Gates,$6.50 ,"$6,500,000,000 ",58,United States,Microsoft,Others
390,Nathan Kirsh,$6.50 ,"$6,500,000,000 ",91,Eswatini (Swaziland),"Retail, real estate",Others
390,Annette Lerner & family,$6.50 ,"$6,500,000,000 ",93,United States,Real estate,Others
390,David Reuben,$6.50 ,"$6,500,000,000 ",84,United Kingdom,"Investments, real estate",Others
390,Simon Reuben,$6.50 ,"$6,500,000,000 ",81,United Kingdom,"Real estate, investments",Others
390,Radovan Vitek,$6.50 ,"$6,500,000,000 ",51,Czech Republic,Real estate,Others
397,Carl Bennet,$6.40 ,"$6,400,000,000 ",71,Sweden,Investments,Others
397,Stephen Bisciotti,$6.40 ,"$6,400,000,000 ",62,United States,"Staffing, Baltimore Ravens",Others
397,Stanley Druckenmiller,$6.40 ,"$6,400,000,000 ",69,United States,Hedge funds,Others
397,Jian Jun,$6.40 ,"$6,400,000,000 ",59,China,Biomedical products,Others
397,Alexei Kuzmichev,$6.40 ,"$6,400,000,000 ",60,Russia,"Oil, banking, telecom",Others
397,Dmitry Rybolovlev & family,$6.40 ,"$6,400,000,000 ",56,Russia,Fertilizer,Others
397,Luis Carlos Sarmiento,$6.40 ,"$6,400,000,000 ",90,Colombia,Banking,Others
397,Dennis Washington,$6.40 ,"$6,400,000,000 ",88,United States,"Construction, mining",Others
405,Anthony Bamford & family,$6.30 ,"$6,300,000,000 ",77,United Kingdom,Construction equipment,Others
405,Gao Jifan & family,$6.30 ,"$6,300,000,000 ",58,China,Solar equipment,Others
405,John Grayken,$6.30 ,"$6,300,000,000 ",66,Ireland,Private equity,Others
405,Alain Merieux & family,$6.30 ,"$6,300,000,000 ",85,France,Pharmaceuticals,Others
405,Wang Yusuo & family,$6.30 ,"$6,300,000,000 ",59,China,Natural gas distribution,Others
405,Stef Wertheimer & family,$6.30 ,"$6,300,000,000 ",96,Israel,Metalworking tools,Others
411,Maria Asuncion Aramburuzabala & family,$6.20 ,"$6,200,000,000 ",59,Mexico,"Beer, investments",Others
411,Gustaf Douglas,$6.20 ,"$6,200,000,000 ",85,Sweden,Investments,Others
411,Frits Goldschmeding,$6.20 ,"$6,200,000,000 ",89,Netherlands,Temp agency,Others
411,Lin Muqin & family,$6.20 ,"$6,200,000,000 ",59,China,Beverages,Others
411,Ruan Liping,$6.20 ,"$6,200,000,000 ",59,Hong Kong,Power strips,Others
411,Ruan Xueping,$6.20 ,"$6,200,000,000 ",51,Hong Kong,Power strip,Others
411,Michal Solowow,$6.20 ,"$6,200,000,000 ",60,Poland,Investments,Others
418,Mike Adenuga,$6.10 ,"$6,100,000,000 ",69,Nigeria,"Telecom, oil",Others
418,Tom Gores,$6.10 ,"$6,100,000,000 ",58,United States,Private equity,Others
418,Michael Herz,$6.10 ,"$6,100,000,000 ",79,Germany,Coffee,Others
418,Wolfgang Herz,$6.10 ,"$6,100,000,000 ",72,Germany,Coffee,Others
418,Michael Kadoorie,$6.10 ,"$6,100,000,000 ",81,Hong Kong,"Hotels, energy",Others
418,Sunil Mittal,$6.10 ,"$6,100,000,000 ",65,India,Telecom,Others
418,Zhou Qunfei,$6.10 ,"$6,100,000,000 ",53,Hong Kong,Smartphone screens,Others
425,Alexander Abramov,$6 ,"$6,000,000,000 ",64,Russia,"Steel, mining",Others
425,Rene Benko,$6 ,"$6,000,000,000 ",46,Austria,"Real estate, retail",Others
425,Neil Bluhm,$6 ,"$6,000,000,000 ",85,United States,Real estate,Others
425,Alain Bouchard,$6 ,"$6,000,000,000 ",74,Canada,Convinience stores,Others
425,Jay Chaudhry,$6 ,"$6,000,000,000 ",63,United States,Security software,Others
425,Gopikishan Damani,$6 ,"$6,000,000,000 ",65,India,"Retail, investments",Others
425,Sumet Jiaravanon,$6 ,"$6,000,000,000 ",88,Thailand,Diversified,Others
425,Joe Lewis,$6 ,"$6,000,000,000 ",86,United Kingdom,Investments,Others
425,Frank Lowy,$6 ,"$6,000,000,000 ",92,Australia,Investments,Others
425,Michael Milken,$6 ,"$6,000,000,000 ",76,United States,Investments,Others
425,David Steward,$6 ,"$6,000,000,000 ",71,United States,IT provider,Others
425,Les Wexner & family,$6 ,"$6,000,000,000 ",85,United States,Retail,Others
437,Cai Kui,$5.90 ,"$5,900,000,000 ",60,China,Real estate,Others
437,Jaran Chiaravanont,$5.90 ,"$5,900,000,000 ",93,Thailand,Diversified,Others
437,Andreas Halvorsen,$5.90 ,"$5,900,000,000 ",61,Norway,Hedge funds,Others
437,Antony Ressler,$5.90 ,"$5,900,000,000 ",62,United States,Finance,Others
437,Tsai Eng-meng,$5.90 ,"$5,900,000,000 ",66,Taiwan,"Food, beverages",Others
442,Josh Harris,$5.80 ,"$5,800,000,000 ",58,United States,Private equity,Others
442,Niels Peter Louis-Hansen,$5.80 ,"$5,800,000,000 ",75,Denmark,Medical devices,Others
442,Patrick Soon-Shiong,$5.80 ,"$5,800,000,000 ",70,United States,Pharmaceuticals,Others
445,Rinat Akhmetov,$5.70 ,"$5,700,000,000 ",56,Ukraine,"Steel, coal",Others
445,John Brown,$5.70 ,"$5,700,000,000 ",88,United States,Medical equipment,Others
445,Clive Calder,$5.70 ,"$5,700,000,000 ",76,United Kingdom,Record label,Others
445,Arthur Irving,$5.70 ,"$5,700,000,000 ",93,Canada,Oil,Others
445,Fredrik Lundberg,$5.70 ,"$5,700,000,000 ",71,Sweden,"Real estate, investments",Others
445,Thomas Schmidheiny,$5.70 ,"$5,700,000,000 ",77,Switzerland,Cement,Others
445,Helmut Sohmen,$5.70 ,"$5,700,000,000 ",83,Austria,Shipping,Others
445,Daniel Ziff,$5.70 ,"$5,700,000,000 ",51,United States,Investments,Others
445,Dirk Ziff,$5.70 ,"$5,700,000,000 ",59,United States,Investments,Others
445,Robert Ziff,$5.70 ,"$5,700,000,000 ",56,United States,Investments,Others
455,Maria Angelicoussis,$5.60 ,"$5,600,000,000 ",41,Greece,Shipping,Others
455,Ray Lee Hunt,$5.60 ,"$5,600,000,000 ",79,United States,"Oil, real estate",Others
455,Lai Meisong,$5.60 ,"$5,600,000,000 ",52,China,Package delivery,Others
455,Vikram Lal & family,$5.60 ,"$5,600,000,000 ",81,India,Motorcycles,Others
455,Ken Langone,$5.60 ,"$5,600,000,000 ",87,United States,Investments,Others
455,Li Ge,$5.60 ,"$5,600,000,000 ",56,United States,Pharmaceutical ingredients,Others
455,Karen Pritzker,$5.60 ,"$5,600,000,000 ",65,United States,"Hotels, investments",Others
455,Robert Rowling,$5.60 ,"$5,600,000,000 ",69,United States,"Hotels, investments",Others
455,Teddy Sagi,$5.60 ,"$5,600,000,000 ",51,Israel,Gambling software,Others
455,Seo Jung-jin,$5.60 ,"$5,600,000,000 ",65,South Korea,Biotech,Others
455,Wu Jianshu,$5.60 ,"$5,600,000,000 ",59,Hong Kong,Auto parts,Others
466,Micky Arison,$5.50 ,"$5,500,000,000 ",73,United States,Carnival Cruises,Others
466,James Chambers,$5.50 ,"$5,500,000,000 ",65,United States,"Media, automotive",Others
466,Pierre Chen,$5.50 ,"$5,500,000,000 ",66,Taiwan,Electronics,Others
466,John Collison,$5.50 ,"$5,500,000,000 ",32,Ireland,Payments software,Others
466,Patrick Collison,$5.50 ,"$5,500,000,000 ",34,Ireland,Payment software,Others
466,Archie Aldis Emmerson & family,$5.50 ,"$5,500,000,000 ",93,United States,"Timberland, lumber mills",Others
466,Piero Ferrari,$5.50 ,"$5,500,000,000 ",77,Italy,Automobiles,Others
466,Dan Friedkin,$5.50 ,"$5,500,000,000 ",58,United States,Toyota dealerships,Others
466,James Irving,$5.50 ,"$5,500,000,000 ",95,Canada,Diversified,Others
466,Jiang Weiping & family,$5.50 ,"$5,500,000,000 ",68,China,Chemicals,Others
466,Wolfgang Marguerre & family,$5.50 ,"$5,500,000,000 ",81,Germany,Pharmaceuticals,Others
466,Ludwig Merckle,$5.50 ,"$5,500,000,000 ",58,Germany,Pharmaceuticals,Others
466,Mitchell Rales,$5.50 ,"$5,500,000,000 ",66,United States,"Manufacturing, investments",Others
466,Katharine Rayner,$5.50 ,"$5,500,000,000 ",78,United States,"Media, automotive",Others
466,Jean Salata,$5.50 ,"$5,500,000,000 ",57,Chile,Finance,Others
466,Paul Singer,$5.50 ,"$5,500,000,000 ",78,United States,Hedge funds,Others
466,Sergio Stevanato & family,$5.50 ,"$5,500,000,000 ",80,Italy,Medical packaging,Others
466,Margaretta Taylor,$5.50 ,"$5,500,000,000 ",80,United States,"Media, automotive",Others
466,Richard White,$5.50 ,"$5,500,000,000 ",68,Australia,Software,Others
466,Zhao Yan,$5.50 ,"$5,500,000,000 ",56,China,Biotech,Others
486,Patrizio Bertelli,$5.40 ,"$5,400,000,000 ",77,Italy,Luxury goods,Others
486,Mahendra Choksi & family,$5.40 ,"$5,400,000,000 ",81,India,Paints,Others
486,Mat Ishbia,$5.40 ,"$5,400,000,000 ",43,United States,Mortgage lender,Others
486,Leo Koguan,$5.40 ,"$5,400,000,000 ",68,United States,IT provider,Others
486,Miao Hangen,$5.40 ,"$5,400,000,000 ",58,China,"Textiles, petrochemicals",Others
486,Michael Pieper,$5.40 ,"$5,400,000,000 ",77,Switzerland,Kitchen appliances,Others
486,Miuccia Prada,$5.40 ,"$5,400,000,000 ",73,Italy,Luxury goods,Others
486,Wolfgang Reimann,$5.40 ,"$5,400,000,000 ",70,Germany,Consumer goods,Others
486,Matthias Reimann-Andersen,$5.40 ,"$5,400,000,000 ",58,Germany,Consumer goods,Others
486,Stefan Reimann-Andersen,$5.40 ,"$5,400,000,000 ",59,Germany,Consumer goods,Others
486,Renate Reimann-Haas,$5.40 ,"$5,400,000,000 ",71,Germany,Consumer goods,Others
497,Todd Boehly,$5.30 ,"$5,300,000,000 ",49,United States,Finance,Others
497,Rick Caruso,$5.30 ,"$5,300,000,000 ",64,United States,Real estate,Others
497,Ibrahim Erdemoglu,$5.30 ,"$5,300,000,000 ",60,Turkey,Carpet,Others
497,Elizabeth Johnson,$5.30 ,"$5,300,000,000 ",59,United States,Fidelity,Others
497,Douglas Leone,$5.30 ,"$5,300,000,000 ",65,United States,Venture capital,Others
497,Prajogo Pangestu,$5.30 ,"$5,300,000,000 ",78,Indonesia,Petrochemicals,Others
497,Thomas Pritzker,$5.30 ,"$5,300,000,000 ",72,United States,"Hotels, investments",Others
497,Lynda Resnick,$5.30 ,"$5,300,000,000 ",80,United States,Agriculture,Others
497,Stewart Resnick,$5.30 ,"$5,300,000,000 ",86,United States,Agriculture,Others
497,Gary Rollins,$5.30 ,"$5,300,000,000 ",78,United States,Pest control,Others
497,Mark Walter,$5.30 ,"$5,300,000,000 ",62,United States,"Finance, asset management",Others
497,Ronald Wanek,$5.30 ,"$5,300,000,000 ",81,United States,Furniture,Others
497,Erich Wesjohann & family,$5.30 ,"$5,300,000,000 ",77,Germany,Poultry genetics,Others
497,M.A. Yusuff Ali,$5.30 ,"$5,300,000,000 ",67,India,Retail,Others
511,Alexandre Behring,$5.20 ,"$5,200,000,000 ",56,Brazil,Investments,Others
511,Cheng Xue,$5.20 ,"$5,200,000,000 ",53,China,Soy sauce,Others
511,Robert Faith,$5.20 ,"$5,200,000,000 ",59,United States,Real estate management,Others
511,Gao Dekang & family,$5.20 ,"$5,200,000,000 ",71,China,Apparel,Others
511,Micky Jagtiani,$5.20 ,"$5,200,000,000 ",71,India,Retail,Others
511,Ananda Krishnan,$5.20 ,"$5,200,000,000 ",85,Malaysia,"Telecoms, media, oil-services",Others
511,Barry Lam,$5.20 ,"$5,200,000,000 ",73,Taiwan,Electronics,Others
511,"Robert Rich, Jr.",$5.20 ,"$5,200,000,000 ",82,United States,Frozen foods,Others
511,Mark Scheinberg,$5.20 ,"$5,200,000,000 ",49,Canada,Online gambling,Others
511,Charles Simonyi,$5.20 ,"$5,200,000,000 ",74,United States,Microsoft,Others
511,Ty Warner,$5.20 ,"$5,200,000,000 ",78,United States,"Plush toys, real estate",Others
511,Sam Zell,$5.20 ,"$5,200,000,000 ",81,United States,"Real estate, private equity",Others
523,Wei Fang,$5.10 ,"$5,100,000,000 ",49,China,Steel,Others
523,Rekha Jhunjhunwala,$5.10 ,"$5,100,000,000 ",59,India,Investments,Others
523,Charles B. Johnson,$5.10 ,"$5,100,000,000 ",90,United States,Franklin Templeton,Others
523,Kwon Hyuk-bin,$5.10 ,"$5,100,000,000 ",49,South Korea,Online games,Others
523,Sami Mnaymneh,$5.10 ,"$5,100,000,000 ",61,United States,Private equity,Others
523,Kjell Inge Rokke,$5.10 ,"$5,100,000,000 ",64,Norway,"Shipping, seafood",Others
523,Tony Tamer,$5.10 ,"$5,100,000,000 ",65,United States,Private equity,Others
523,Tse Ping & family,$5.10 ,"$5,100,000,000 ",71,China,Pharmaceuticals,Others
523,Romesh T. Wadhwani,$5.10 ,"$5,100,000,000 ",75,United States,Software,Others
523,Hansjoerg Wyss,$5.10 ,"$5,100,000,000 ",88,Switzerland,Medical devices,Others
523,Denise York & family,$5.10 ,"$5,100,000,000 ",72,United States,San Francisco 49ers,Others
534,Ron Baron,$5 ,"$5,000,000,000 ",79,United States,Money management,Others
534,Robert Bass,$5 ,"$5,000,000,000 ",75,United States,"Oil, investments",Others
534,Dona Bertarelli,$5 ,"$5,000,000,000 ",55,Switzerland,Biotech and investments,Others
534,Alexander Gerko,$5 ,"$5,000,000,000 ",43,United Kingdom,Trading,Others
534,Martin Haefner,$5 ,"$5,000,000,000 ",69,Switzerland,"Software, investments",Others
534,"Robert Hale, Jr.",$5 ,"$5,000,000,000 ",56,United States,Telecom,Others
534,Viktor Kharitonin,$5 ,"$5,000,000,000 ",50,Russia,Pharmaceuticals,Others
